day,phase,net_udl_AB,net_udl_BC,defl_0.0m,defl_0.5m,defl_1.0m,defl_1.5m,defl_2.0m,defl_2.5m,defl_3.0m,defl_3.5m,defl_4.0m,defl_4.5m,defl_5.0m,defl_5.5m,defl_6.0m,defl_6.5m,defl_7.0m,defl_7.5m,defl_8.0m,defl_8.5m,defl_9.0m,defl_9.5m,defl_10.0m,defl_10.5m,defl_11.0m,defl_11.5m,defl_12.0m,defl_12.5m,defl_13.0m,defl_13.5m,defl_14.0m,defl_14.5m,defl_15.0m,defl_15.5m,defl_16.0m,defl_16.5m,defl_17.0m,defl_17.5m,defl_18.0m,defl_18.5m,defl_19.0m,defl_19.5m,defl_20.0m,defl_20.5m,defl_21.0m,defl_21.5m,defl_22.0m,defl_22.5m,defl_23.0m,defl_23.5m,defl_24.0m,defl_24.5m,defl_25.0m,defl_25.5m,defl_26.0m,defl_26.5m,defl_27.0m,defl_27.5m,defl_28.0m,defl_28.5m,defl_29.0m,defl_29.5m,defl_30.0m
21,1,1.584746177618813,6.069638268167834,-0.0,0.018010437680419534,0.06715901613055393,0.1405071125103834,0.23163007604211297,0.33461722801017213,0.4440718617612135,0.5551112427041129,0.6633666083099695,0.7649831681121079,0.8566201037060721,0.935450568749636,0.999161688962788,1.0459545621277462,1.074544258088948,1.0841598187530588,1.0745442580889661,1.0459545621277817,0.9991616889628383,0.9354505687496975,0.8566201037061424,0.7649831681121781,0.6633666083100372,0.5551112427041754,0.44407186176126767,0.3346172280102163,0.23163007604214547,0.1405071125104041,0.06715901613056396,0.018010437680422407,-0.0,0.10466031603902617,0.3950188730751936,0.8371184839296953,1.3989704940138028,2.0505547813288634,2.763819756466304,3.5126823626076273,4.273028075524408,5.022710903578298,5.741553387721023,6.41134660149438,7.015850151030238,7.54079217505053,7.973869344867282,8.304746864382595,8.52505847008865,8.62840643106768,8.610361548992016,8.468463158124065,8.20221912531631,7.8131058500113175,7.304568264241729,6.682019832630254,5.952842552389676,5.126386953322837,4.213972097822668,3.228885580872169,2.18638353004443,1.1036906055026245,-0.0
22,1,1.9692588324210336,6.832217591453881,-0.0,0.022380374837834692,0.08345404933584992,0.17459885768256037,0.2878313130154808,0.41580660742112546,0.5518186119350078,0.6897998765416383,0.8243216301745283,0.9505937807161866,1.06446491499812,1.162422298800837,1.241591876853838,1.2997382728356273,1.3352647893737035,1.3472134080445701,1.3352647893737262,1.2997382728356714,1.2415918768539005,1.1624222988009134,1.064464914998206,0.9505937807162733,0.8243216301746116,0.6897998765417156,0.5518186119350742,0.4158066074211801,0.28783131301552073,0.17459885768258585,0.08345404933586238,0.022380374837838245,-0.0,0.11780966521828717,0.44464839160757674,0.9422926670986118,1.5747348353942692,2.3081830959695564,3.1110615040716167,3.9540099707197247,4.809884262705279,5.653756002591814,6.462912668714989,7.216857595182594,7.897309971874541,8.488204844442865,8.975693114311746,9.34814153867749,9.596132730508552,9.712465158545479,9.69215314730098,9.532426877059894,9.23273238387919,8.794731559587975,8.222302151787492,7.521537763851097,6.700747854924285,5.770457739924654,4.743408589541953,3.634557430238051,2.4610771442469654,1.2423564695748535,-0.0
23,1,2.3041551584533826,7.006743733080014,-0.0,0.02618642876280461,0.09764642164108848,0.20429150905203436,0.3367805154559974,0.4865195593565059,0.6456620533002587,0.8071087038771266,0.9645075117201514,1.1122537715055474,1.2454900719526991,1.3601062958241636,1.4527396199256644,1.5207745151061,1.5623427462575379,1.5763233723152221,1.5623427462575639,1.5207745151061511,1.4527396199257363,1.360106295824252,1.2454900719527988,1.112253771505649,0.9645075117202485,0.807108703877216,0.6456620533003363,0.4865195593565688,0.33678051545604404,0.20429150905206395,0.097646421641103,0.02618642876280874,-0.0,0.12081906385666376,0.4560067488508539,0.966363139279859,1.6149607783222872,2.3671446680380632,3.190532269368433,4.05501350213596,4.932750745044518,5.798178835679301,6.6280050705068145,7.4012092048748785,8.099043453012625,8.705032488030488,9.204973441920242,9.586935905554963,9.841261928689066,9.960566019958247,9.93973514687955,9.77592873585132,9.46857867215324,9.019389299946306,8.43233742227283,7.713672301056439,6.871915657102064,5.917861670095941,4.864576978605634,3.7274006800800183,2.5239443308492997,1.2740919461250115,-0.0
24,1,2.3306275709265667,7.045937553924383,-0.0,0.026487284345756704,0.09876828027145448,0.2066386118816999,0.3406497829770555,0.4921091770540404,0.6530800573051275,0.8163815666187455,0.9755887275792766,1.1250324424670601,1.259799493258388,1.3757325416255084,1.4694301289366198,1.5382466762558795,1.580292484343395,1.5944337336552357,1.5802924843434218,1.5382466762559315,1.4694301289366936,1.3757325416255988,1.2597994932584886,1.1250324424671625,0.9755887275793755,0.8163815666188362,0.653080057305206,0.4921091770541041,0.3406497829771026,0.20663861188172983,0.09876828027146917,0.026487284345760878,-0.0,0.1214948928756453,0.4585575267155992,0.9717687121385781,1.6239944301622158,2.380385832203062,3.208379240076585,4.0776961459971695,4.96034321257811,5.830612272831616,6.665080330168812,7.442609558399732,8.144347301733323,8.753726074777427,9.256463562538826,9.640562620423212,9.896311274235204,10.016282720178301,9.995335324854949,9.830612625266504,9.521543328813241,9.069841313294356,8.479505626907962,7.756820488251075,6.910355286319626,5.950964580508442,4.891788100611278,3.7482507468207946,2.5380625897285904,1.2812188703251814,-0.0
25,1,2.5208996934593193,7.0545502056362235,-0.0,0.02864970268983907,0.10683170943559517,0.22350856046139592,0.3684603856043979,0.5322849043147859,0.706397425655772,0.8830308483035961,1.0552356605475246,1.2168799402898527,1.3626493550458993,1.4880471619440174,1.5893942077255763,1.6638289287449803,1.7093073509696555,1.7246030899800615,1.7093073509696841,1.6638289287450365,1.5893942077256553,1.4880471619441145,1.362649355046008,1.2168799402899628,1.0552356605476303,0.8830308483036937,0.7063974256558566,0.5322849043148549,0.3684603856044485,0.22350856046142822,0.106831709435611,0.028649702689843584,-0.0,0.12164340301912825,0.4591180477587136,0.9729565605119221,1.6259795312650729,2.383295513697634,3.212301025182229,4.082680546784632,4.966406523263759,5.837739363071681,6.6732274383536145,7.4517070849479214,8.15430260238611,8.764426253892825,9.26777826638588,9.65234683047623,9.908408100468,10.028526194358424,10.007553193837916,9.842629144290049,9.53318205479153,9.080927898112236,8.489870610715187,7.766302092756548,6.91880220808563,5.958238784244873,4.897767612469883,3.7528324476894084,2.5411650085253634,1.2827849772928201,-0.0
26,1,2.359390297951266,6.815645079867796,-0.0,0.026814169060743465,0.09998719878060847,0.20918877908149552,0.3448538080392397,0.49818239188360997,0.661139844998309,0.8264566899209712,0.9876286573431651,1.1389166861103928,1.2753469232220875,1.3927107238316172,1.4875646512462795,1.5572304769273055,1.5997951804898594,1.614110949703043,1.5997951804898871,1.5572304769273584,1.4875646512463532,1.3927107238317082,1.275346923222189,1.138916686110496,0.9876286573432649,0.8264566899210631,0.6611398449983884,0.49818239188367464,0.34485380803928717,0.20918877908152586,0.09998719878062332,0.02681416906074769,-0.0,0.1175239011869681,0.4435698339470496,0.9400070027540646,1.570915092981904,2.3025842709045277,3.1035151836959685,3.944418959430327,4.798217207081769,5.6400420165245295,6.447235958532908,7.199352084781272,7.878153927844049,8.467615501195725,8.953921299210872,9.325466297164123,9.572855951230197,9.688906198483846,9.668643456899918,9.509304625353334,9.210337083619072,8.773398692372197,8.202357793187842,7.503293208541191,6.684494241807502,5.756460677262081,4.731902780080314,3.6257412963376527,2.455107453009628,1.2393429579718516,-0.0
27,1,2.381561933945939,6.707134422920118,-0.0,0.027066146868921552,0.10092679736140096,0.2111545655255579,0.3480944643689118,0.5028639058583815,0.6673527009202835,0.8342230594403344,0.9969095902636459,1.1496193011947324,1.2873315989975018,1.4057982893952645,1.501543577070723,1.5718640656659824,1.614828757782541,1.6292790549813034,1.614828757782568,1.5718640656660352,1.5015435770707983,1.4057982893953564,1.287331598997605,1.1496193011948366,0.9969095902637466,0.8342230594404267,0.6673527009203638,0.5028639058584465,0.3480944643689597,0.21115456552558845,0.10092679736141592,0.027066146868925823,-0.0,0.11565282433724765,0.4365078385644056,0.9250413206786358,1.5459048369091517,2.265925241717215,3.0541046777961407,3.8816205760712923,4.721825655700078,5.5502479240719556,6.344590676808428,7.084732497763047,7.752727259021402,8.332804120901123,8.811367531951907,9.176997228955493,9.42044823692568,9.534650869108287,9.51471072698121,9.357908700254384,9.063700966869805,8.633718993001516,8.071769533055614,7.383834629670232,6.578071613715552,5.664813104293787,4.656567008739208,3.5680165226181333,2.4160201297289414,1.2196116021020693,-0.0
28,1,2.6695857797534304,6.737704807593547,-0.0,0.03033950104932732,0.11313278869285456,0.23669139879267112,0.39019267936923135,0.5636797906013542,0.748061704826222,0.9351132065393811,1.1174748923947408,1.2886531712045746,1.4430202639395175,1.5758142037285714,1.6831388358590944,1.7619638177768124,1.8101246190858136,1.8263225215485517,1.810124619085844,1.7619638177768724,1.6831388358591777,1.5758142037286738,1.4430202639396321,1.288653171204691,1.1174748923948528,0.9351132065394843,0.7480617048263114,0.5636797906014268,0.3901926793692849,0.23669139879270526,0.11313278869287131,0.030339501049332092,-0.0,0.11617995725357569,0.43849739352133027,0.9292575577821185,1.5529509019725456,2.2762530809869648,3.0680249526774803,3.899312577853945,4.743347220283955,5.575545346692853,6.373508626763729,7.117023933137419,7.788063341412497,8.370784130145276,8.85152878084983,9.218824977997983,9.463385609019312,9.578108764301117,9.558077737188464,9.400561023984174,9.10501232394881,8.673070539300692,8.108559775215891,7.417489339828213,6.608053744229211,5.690632702468164,4.677791131552119,3.584279151445855,2.4270320850719216,1.2251704583106202,-0.0
29,1,2.402651808739476,6.815536870679342,-0.0,0.027305830599364485,0.10182055262735698,0.21302444062120124,0.35117700804129076,0.5073170072711886,0.6732624296176257,0.8416105053105022,1.0057377035028858,1.1597997322710134,1.2987315386142886,1.4182473084552867,1.5148404666397433,1.5857836769365696,1.6291288420378385,1.6437071035587998,1.6291288420378662,1.5857836769366225,1.5148404666398188,1.4182473084553786,1.2987315386143918,1.1597997322711182,1.0057377035029873,0.8416105053105954,0.6732624296177064,0.5073170072712541,0.3511770080413391,0.21302444062123213,0.10182055262737211,0.027305830599368794,-0.0,0.11752203530841628,0.44356279157157497,0.9399920786502244,1.5708901522102896,2.30254771372287,3.103465910464242,3.9443563355158595,4.798141027764343,5.6399524719014895,6.447133598424266,7.199237783634812,7.878028849640437,8.467481064353608,8.953779141491987,9.325318240578406,9.572703966940884,9.68875237171258,9.66848995183185,9.509153650042235,9.21019085489244,8.773259400736356,8.20222756773305,7.503174081846752,6.684388114846861,5.756369284307936,4.73182765360972,3.6256837319371265,2.455068474280257,1.239323281434396,-0.0
30,1,2.2615973588956404,6.9026333503431845,-0.0,0.025702764812340174,0.09584288995421991,0.2005182401114907,0.33056017147475686,0.47753353173937524,0.6337366601054545,0.7922013872778536,0.946693035466184,1.0917104183848103,1.222485841252844,1.3349851007941547,1.4259074852373526,1.492685774315809,1.5334862392676385,1.5472086428357166,1.5334862392676645,1.4926857743158595,1.4259074852374236,1.3349851007942413,1.222485841252942,1.0917104183849093,0.9466930354662803,0.7922013872779416,0.6337366601055303,0.47753353173943724,0.3305601714748026,0.20051824011151986,0.09584288995423418,0.025702764812344226,-0.0,0.1190238620540579,0.44923112825418476,0.9520043386549409,1.5909647266410603,2.3319722189274468,3.14312543555918,3.9947616899115093,4.859456988689851,5.712026031929791,6.529522212997085,7.2912376185876555,7.9787030287275895,8.575687916773136,9.068200449410723,9.444487486656955,9.69503458185861,9.812565981692618,9.792044626166089,9.630672148616316,9.32788887571076,8.885373827447058,8.307044717153016,7.599057951486607,6.769808630435968,5.829930547319388,4.792296188785343,3.672016734812469,2.4864420587095903,1.2551607271157101,-0.0
31,1,2.3670229569386247,7.216257542219978,-0.0,0.02690091325421062,0.10031065869822199,0.209865507563467,0.34596941469386605,0.4997940185458272,0.6632786411882433,0.829130288302496,0.99082364918245,1.14260109673446,1.2794726874773625,1.397216161542484,1.492376942673632,1.5622681382271029,1.6049705391716775,1.6193326200886256,1.6049705391717044,1.5622681382271557,1.4923769426737066,1.397216161542576,1.279472687477464,1.142601096734564,0.9908236491825497,0.829130288302588,0.6632786411883231,0.49979401854589184,0.3459694146939138,0.20986550756349748,0.1003106586982369,0.026900913254214863,-0.0,0.12443176374260734,0.4696421427777381,0.9952590758284013,1.663250910967,2.4379264056153276,3.2859347265445735,4.176265449875317,5.080248561077527,5.97155445497056,6.826193935723162,7.622518216853467,8.341218921228995,8.965328081066643,9.480218137932717,9.873601942742907,10.135532755762314,10.258404246605394,10.236950494236012,10.06824598696744,9.751705622462328,9.28908470773273,8.684478959140092,7.944324502395243,7.07739787255839,6.094816014039125,5.010036280596435,3.8388564353386987,2.599414650723694,1.3121895085586042,-0.0
32,1,2.71369319191069,7.272891600433818,-0.0,0.030840776148849287,0.11500199049083415,0.24060205982473243,0.39663951822348764,0.5729930170342086,0.7604213248781689,0.9505633276508064,1.135938028521723,1.3099445479346858,1.4668621236076251,1.601850110532637,1.7109479809759758,1.7910753244780655,1.8400318478534894,1.8564973751910028,1.8400318478535207,1.7910753244781255,1.7109479809760608,1.6018501105327412,1.4668621236077415,1.3099445479348046,1.1359380285218372,0.9505633276509113,0.76042132487826,0.5729930170342825,0.39663951822354204,0.24060205982476712,0.11500199049085122,0.030840776148854127,-0.0,0.12540831920923523,0.47332795087121754,1.0030699889102226,1.6763043044143393,2.4570595456354662,3.311723137989317,4.2090412840554166,5.120118963577093,6.018419933461489,6.8797667277795505,7.682340657766036,8.406681811819501,9.035689055502306,9.554620031540633,9.951091159824475,10.215077637407648,10.338913438507742,10.317291314506184,10.147262793948217,9.82823818254289,9.361986563163072,8.752635795845439,8.006672517790474,7.1329421433624605,6.142648864089478,5.049355648663427,3.8689842429400136,2.6198151699387697,1.322487729843045,-0.0
33,1,2.6828955037810895,7.3536425694611625,-0.0,0.030490764361098776,0.11369683357479897,0.23787146845798915,0.39213805865593754,0.5664901226422921,0.7517913077190789,0.9397753900167033,1.1230462744939471,1.2950779949379727,1.4502147139643191,1.5836707230169047,1.6915304423680226,1.770748421118346,1.8191493371969247,1.8354279973611916,1.8191493371969552,1.7707484211184057,1.6915304423681066,1.583670723017008,1.4502147139644337,1.2950779949380897,1.1230462744940595,0.939775390016807,0.751791307719169,0.5664901226423652,0.3921380586559915,0.23787146845802354,0.11369683357481583,0.030490764361103574,-0.0,0.12680072870144218,0.4785833145972902,1.014207082387859,1.6949163234575066,2.4843402958746306,3.3484932243916723,4.255774300445116,5.176967682155474,6.08524249432731,6.956152828449214,7.767637742693822,8.500021261917793,9.136012377661825,9.660705048150666,10.0615781982931,10.328495719681971,10.453706470594117,10.431844275990455,10.259927927515937,9.937361183499558,9.465932768954355,8.84981637557741,8.095570661749834,7.212139252536774,6.210850739687397,5.105418681634927,3.9119416034966177,2.648902997073781,1.3371713208517755,-0.0
34,1,2.8049787789534526,7.379923965997721,-0.0,0.031878225173666994,0.11887052811488687,0.24869564252607482,0.4099820255390979,0.5922678577152747,0.7860010430453747,0.9825392089496173,1.174149706277673,1.3540096093086622,1.516205715751156,1.6557345467431765,1.7685023468521919,1.8513250840751219,1.9019284498383373,1.9189478589976618,1.9019284498383695,1.8513250840751843,1.7685023468522794,1.6557345467432851,1.5162057157512765,1.3540096093087846,1.1741497062777904,0.9825392089497257,0.7860010430454684,0.5922678577153511,0.409982025539154,0.2486956425261107,0.11887052811490449,0.031878225173672,-0.0,0.12725390550472696,0.48029373739087905,1.017831786505668,1.7009738340819778,2.4932191517383604,3.360460501479042,4.270984135693918,5.195469797158549,6.1069907190341635,6.981013624867658,7.795398728591594,8.530399734524194,9.16866383736934,9.695231722216601,10.09753756454121,10.365409030204075,10.491067275451757,10.469126946916495,10.296596181616206,9.972876606954483,9.499763340720575,8.881444991089424,8.12450365662162,7.237914926263418,6.233047879346724,5.123665085589129,3.925922605093883,2.658369988349925,1.34195027623187,-0.0
35,1,2.6098953566852328,7.207335750503751,-0.0,0.029661127023271634,0.11060320373957196,0.23139911343601066,0.38146819248954233,0.5510762303669661,0.7313354696249249,0.9142046059099048,1.0924887879582346,1.2598396175960893,1.4107551497394835,1.5405798923942786,1.6455048066561733,1.7225673067107146,1.7696512598332892,1.7854869863891312,1.7696512598333185,1.7225673067107725,1.6455048066562556,1.5405798923943792,1.4107551497395954,1.259839617596203,1.0924887879583445,0.9142046059100059,0.7313354696250125,0.5510762303670377,0.38146819248959485,0.23139911343604416,0.11060320373958837,0.029661127023276296,-0.0,0.12427792301942096,0.46906150255605655,0.9940285911725706,1.6611945572250981,2.4349122848632434,3.2818721740300845,4.1711021404621675,5.0739676156895035,5.9641715470355745,6.817754397617325,7.61309414634517,8.330906287922984,8.954243832848096,9.46849730741133,9.861394753696965,10.123001729582768,10.245721308739943,10.224294080633179,10.055798150520651,9.73964913945399,9.277600184278308,8.673741937632188,7.9345025679476695,7.068647759450259,6.087280712158914,5.003842141886072,3.834110280237636,2.5962008746129914,1.3105671882050023,-0.0
36,1,2.8278033142744454,7.424926769982614,-0.0,0.03213762309920794,0.1198377955280812,0.25071931647313095,0.41331811110705385,0.5970872305887318,0.7923968520632311,0.9905342786618019,1.183703939501878,1.365027389687079,1.5285433103072064,1.6692075084382478,1.7828929171423693,1.8663895954679246,1.9174047284494475,1.9345626271076644,1.9174047284494806,1.866389595467987,1.782892917142458,1.6692075084383573,1.5285433103073278,1.3650273896872032,1.183703939501997,0.9905342786619108,0.7923968520633257,0.5970872305888087,0.4133181111071105,0.25071931647316703,0.11983779552809899,0.032137623099212996,-0.0,0.12802990029710243,0.48322257040034644,1.024038528551894,1.711346378892915,2.508422811463585,3.3809526022030894,4.297028612949617,5.227151791440362,6.144231171311521,7.023583872098289,7.8429350992348725,8.582418144054472,9.224574383789278,9.754353281570506,10.159112386428378,10.42861733329212,10.555041842989953,10.53296772224911,10.359384863695837,10.033691245855387,9.557692933152024,8.93560407590902,8.174046910348634,7.282051758592141,6.271057028659793,5.154909214470861,3.9498628958436157,2.6745807384953517,1.3501334940423764,-0.0
37,1,2.7442735033545214,7.57877273472937,-0.0,0.03118831747836017,0.11629793532953352,0.24331337809217712,0.40110920552430784,0.5794500126033021,0.7689904295258951,0.961275121708181,1.148738789785611,1.3247061696129965,1.4833920322645053,1.6199011840336668,1.730228466433361,1.811258756195833,1.8607669652726802,1.8774180408348673,1.8607669652727123,1.8112587561958937,1.7302284664334477,1.6199011840337725,1.4833920322646232,1.3247061696131162,1.1487387897857262,0.9612751217082869,0.7689904295259871,0.5794500126033769,0.4011092055243627,0.24331337809221215,0.11629793532955075,0.031188317478365077,-0.0,0.13068270538701507,0.49323503851399786,1.0452568112694869,1.7468058174615282,2.560397832817673,3.4510066149849834,4.386063903530026,5.335459419938867,6.27154086761708,7.169113931889741,8.005442280001427,8.760247561116211,9.415709406317667,9.95646542860888,10.36961122291245,10.644700366070479,10.773744416844561,10.7512129159158,10.574033385884826,10.241591331271762,9.755730238516243,9.120751575977424,8.343414793933938,7.43293732458393,6.400994582045029,5.2617199623543796,4.031704843468629,2.7299985852639432,1.3781085295360052,-0.0
38,1,2.702125976447489,7.592119028819248,-0.0,0.030709316224112954,0.11451179034342257,0.23957648483520208,0.3949488279191497,0.5705506135573891,0.7571800014544677,0.9465115170573576,1.1310960515554538,1.3043608618805764,1.4606095707069677,1.595022166451296,1.7036550032726478,1.7834408010725389,1.8321886454949035,1.8485839879261063,1.8321886454949345,1.7834408010725995,1.703655003272733,1.5950221664514002,1.460609570707083,1.3043608618806946,1.1310960515555675,0.9465115170574621,0.7571800014545583,0.5705506135574628,0.3949488279192039,0.23957648483523655,0.1145117903434396,0.03070931622411778,-0.0,0.13091283892968794,0.4941036303176911,1.047097518899988,1.7498819598626478,2.5649067188418284,3.457083871923781,4.393787805644845,5.344855216991443,6.2825851134000885,7.181738812757376,8.019539943399993,8.775674444114701,9.432290564138338,9.973998863157854,10.387872211310281,10.663445789182747,10.792717087812445,10.770145908686672,10.592654363742826,10.259626875368383,9.772910176400924,9.136813310128112,8.358107630287694,7.446026801067497,6.41226679710542,5.270985903489461,4.038804715757705,2.7348061398983394,1.3805353923496468,-0.0
